City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
389,Molo,KE,64.44,broken clouds,2.3284,37.9899,Chicho Hotel
391,Khash,IR,79.88,clear sky,37.4727,49.4622,هتل بیاچ
393,Sao Filipe,PT,75.0,clear sky,32.6667,-17.1,Hotel do Campo
395,Bargal,SO,76.32,clear sky,9.4942,50.8122,JABIR HOTEL
396,Makakilo City,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
400,Barbar,SD,77.81,overcast clouds,12.35,29.25,حامد محمد نور
401,Santa Cruz De Tenerife,ES,70.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
402,Rungata,KI,81.81,light rain,3.0707,172.7902,Isles Sunset Lodge
403,Salinas,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
409,Kavieng,PG,80.19,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
412,West Bay,KY,89.67,few clouds,19.3667,-81.4167,Calypso Cove
414,Praia Da Vitoria,PT,67.42,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
415,Barcelos,BR,72.95,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
416,Jizan,SA,91.54,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
417,Capim Grosso,BR,72.95,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
418,Runkel,DE,73.83,overcast clouds,50.4,8.1667,Landhaus Schaaf
420,Davila,PH,78.6,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
421,Normandin,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
422,Moose Factory,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
423,Colon,PA,79.02,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
424,Ixtapa,MX,95.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
425,Gulshat,KZ,64.2,clear sky,47.9714,80.4392,ХАН
430,Temaraia,KI,81.81,light rain,3.0707,172.7902,Isles Sunset Lodge
431,Buala,SB,81.59,scattered clouds,-8.103,156.8419,Imagination Island
433,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
434,Dracena,BR,72.95,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
435,Dingle,IE,67.1,scattered clouds,51.55,-9.2667,The West Cork Hotel
437,Malakisi,KE,64.44,broken clouds,2.3284,37.9899,Chicho Hotel
438,Gat,LY,78.85,clear sky,31.7561,25.0865,بورتو بردية
439,San Carlos Sija,GT,93.74,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
440,Plouzane,FR,80.89,few clouds,47.875,-3.9225,Brit Hotel de L' Océan
441,Turtkul,UZ,82.49,clear sky,37.2242,67.2783,Hotel Sharq
442,Frontera,MX,95.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
443,Saldanha,ZA,69.03,clear sky,-33.0153,27.9116,Tu Casa
444,Biggar,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
446,Norsup,VU,78.69,broken clouds,-15.5333,167.1667,The Espiritu Hotel
447,Tarakan,ID,74.01,overcast clouds,-5.1241,120.253,Wisma Sandika
449,Talara,PE,66.72,clear sky,-4.5772,-81.2719,Hostal Oro Negro
451,Halifax,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
454,Fairmont,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
455,Puerto Leguizamo,CO,80.69,broken clouds,6.189,-67.4859,Casa Hotel Victoria
457,Morant Bay,JM,91.71,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
459,Urumqi,CN,79.34,clear sky,39.4547,75.9797,帕米尔青年旅舍
462,Camopi,GF,76.37,overcast clouds,3.1655,-52.3158,La pousada
463,San Matias,BO,80.65,few clouds,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
464,San Andres,CO,80.69,broken clouds,6.189,-67.4859,Casa Hotel Victoria
466,Jacareacanga,BR,72.95,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
467,Margate,ZA,69.03,clear sky,-33.0153,27.9116,Tu Casa
468,Killybegs,IE,67.1,scattered clouds,51.55,-9.2667,The West Cork Hotel
469,Viligili,MV,77.36,overcast clouds,-0.6,73.0833,Scoop Guest House
471,La Trinidad,MX,95.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
474,Laguna,BR,72.95,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
475,Sompeta,IN,77.59,broken clouds,19.2,84.6167,Chikiti kalyan mandap
476,Mohiuddinagar,IN,77.59,broken clouds,19.2,84.6167,Chikiti kalyan mandap
479,Yanan,CN,79.34,clear sky,39.4547,75.9797,帕米尔青年旅舍
481,Salinopolis,BR,72.95,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
483,Aranda De Duero,ES,70.02,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
484,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
485,Saint-Georges,GF,76.37,overcast clouds,3.1655,-52.3158,La pousada
486,Ponta Delgada,PT,67.42,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
487,Jaque,PA,79.02,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
488,Onverwacht,SR,82.85,broken clouds,5.5833,-55.1833,"Overtoom, District Para, Paramaribo"
492,Zhanatas,KZ,64.2,clear sky,47.9714,80.4392,ХАН
493,Loa Janan,ID,74.01,overcast clouds,-5.1241,120.253,Wisma Sandika
494,Rockland,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
495,Brokopondo,SR,82.85,broken clouds,5.5833,-55.1833,"Overtoom, District Para, Paramaribo"
498,Phalaborwa,ZA,69.03,clear sky,-33.0153,27.9116,Tu Casa
501,Bogalusa,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
502,Cayenne,GF,76.37,overcast clouds,3.1655,-52.3158,La pousada
503,Khambhat,IN,77.59,broken clouds,19.2,84.6167,Chikiti kalyan mandap
504,Meulaboh,ID,74.01,overcast clouds,-5.1241,120.253,Wisma Sandika
