City_ID,City,Country,Date,Lat,Lng,Temp,Min Temp,Max Temp,Current Description,Current Details,Humidity,Cloudiness,Wind Speed
152,Katsina,NG,2022-07-15 04:26:16,12.9894,7.6006,79.11,79.11,79.11,Clouds,broken clouds,65,81,13.49
153,Zaysan,KZ,2022-07-15 04:26:17,47.4667,84.8667,74.34,74.34,74.34,Clear,clear sky,21,0,7.9
154,Longyearbyen,SJ,2022-07-15 04:26:17,78.2186,15.6401,51.64,51.64,51.64,Clouds,broken clouds,71,75,16.11
155,Poronaysk,RU,2022-07-15 04:26:17,49.2167,143.1167,59.85,59.85,59.85,Clouds,broken clouds,80,83,9.91
156,Mujiayingzi,CN,2022-07-15 04:26:18,42.1167,118.7833,82.83,82.83,82.83,Clear,clear sky,36,4,18.84
157,Alofi,NU,2022-07-15 04:26:19,-19.0595,-169.9187,78.69,78.69,78.69,Clouds,overcast clouds,69,93,12.66
158,Riwaka,NZ,2022-07-15 04:26:19,-41.0833,173.0,50.58,50.58,50.58,Clouds,broken clouds,83,81,3.47
159,Manokwari,ID,2022-07-15 04:26:20,-0.8667,134.0833,83.41,83.41,83.41,Clouds,broken clouds,69,78,5.97
160,Taltal,CL,2022-07-15 04:26:20,-25.4,-70.4833,53.55,53.55,53.55,Clear,clear sky,72,9,4.65
161,Vanimo,PG,2022-07-15 04:26:21,-2.6741,141.3028,83.3,83.3,83.3,Clouds,broken clouds,74,60,3.06
162,Opuwo,NA,2022-07-15 04:26:21,-18.0607,13.84,54.21,54.21,54.21,Clear,clear sky,40,0,7.81
163,Rio Gallegos,AR,2022-07-15 04:26:21,-51.6226,-69.2181,24.85,24.85,24.85,Fog,fog,93,100,6.91
164,Kaeo,NZ,2022-07-15 04:26:22,-35.1,173.7833,60.33,60.33,60.33,Clouds,overcast clouds,75,100,5.46
165,Berlevag,NO,2022-07-15 04:26:22,70.8578,29.0864,57.67,55.4,64.2,Clouds,overcast clouds,94,100,2.3
166,Kenai,US,2022-07-15 04:26:23,60.5544,-151.2583,58.53,57.09,63.03,Clear,clear sky,84,0,10.36
167,Bella Union,UY,2022-07-15 04:26:23,-30.2752,-57.6007,62.82,62.82,62.82,Clouds,broken clouds,99,58,9.13
168,Victoria,HK,2022-07-15 04:21:40,22.2855,114.1577,89.87,83.95,91.45,Clouds,overcast clouds,75,96,8.01
169,Lompoc,US,2022-07-15 04:26:24,34.6391,-120.4579,57.7,55.92,59.85,Mist,mist,85,75,11.01
170,Cartagena,CO,2022-07-15 04:26:24,10.3997,-75.5144,80.22,80.22,80.22,Clouds,few clouds,83,20,8.05
171,Ballitoville,ZA,2022-07-15 04:26:25,-29.539,31.2144,59.25,57.16,59.25,Clouds,broken clouds,69,54,8.5
172,New Norfolk,AU,2022-07-15 04:26:25,-42.7826,147.0587,51.01,50.72,51.93,Clouds,overcast clouds,59,91,6.26
173,Khatanga,RU,2022-07-15 04:24:16,71.9667,102.5,57.63,57.63,57.63,Clouds,broken clouds,45,67,6.73
174,Nanortalik,GL,2022-07-15 04:26:26,60.1432,-45.2371,43.41,43.41,43.41,Clouds,overcast clouds,83,99,6.26
175,Kovacica,RS,2022-07-15 04:26:26,45.1117,20.6214,68.02,64.4,69.89,Clear,clear sky,43,7,5.21
176,Heihe,CN,2022-07-15 04:26:26,50.2441,127.4902,81.18,80.4,81.18,Clouds,overcast clouds,64,98,8.9
177,Agirish,RU,2022-07-15 04:26:27,61.9247,63.0231,75.24,75.24,75.24,Clouds,broken clouds,59,74,5.44
178,Waipawa,NZ,2022-07-15 04:26:27,-41.4122,175.5153,45.95,45.95,45.95,Clouds,broken clouds,74,84,4.7
179,Channel-Port Aux Basques,CA,2022-07-15 04:26:28,47.5702,-59.1367,57.63,57.63,57.63,Clouds,broken clouds,73,53,3.13
180,Fairbanks,US,2022-07-15 04:25:07,64.8378,-147.7164,67.57,64.24,69.76,Clouds,few clouds,34,20,4.61
181,Palic,RS,2022-07-15 04:26:28,46.1023,19.7635,68.38,68.38,68.38,Clouds,few clouds,43,19,7.23
