City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
157,Nkhotakota,MW,-12.9274,34.2961,67.33,64,58,10.42,broken clouds
158,Dourbali,TD,11.8091,15.8632,74.95,78,97,9.95,overcast clouds
159,Guerrero Negro,MX,22.8909,-109.9124,95.61,57,11,6.62,few clouds
160,Kahului,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
161,Nisia Floresta,BR,-22.9661,-42.0278,72.95,82,56,19.73,broken clouds
162,Saint-Augustin,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
163,Greensburg,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
164,Cherskiy,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
165,Aleksandrov Gay,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
166,Portland,AU,-33.65,115.3333,53.83,91,99,14.2,overcast clouds
167,Porto Santo,PT,33.0833,-16.3333,67.42,78,20,16.11,few clouds
168,Mecca,SA,29.9697,40.2064,91.54,16,22,3.98,few clouds
169,Nador,MA,35.174,-2.9287,79.05,78,0,5.75,clear sky
170,Marawi,SD,12.35,29.25,77.81,75,92,7.81,overcast clouds
171,Kavaratti,IN,19.2,84.6167,77.59,90,60,4.47,broken clouds
172,Fort Morgan,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
173,Ocean City,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
174,Fort-Shevchenko,KZ,47.9714,80.4392,64.2,69,7,9.86,clear sky
175,Marv Dasht,IR,37.4727,49.4622,79.88,64,0,1.92,clear sky
176,Mentok,ID,-5.1241,120.253,74.01,90,100,2.73,overcast clouds
177,Tselinnoye,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
178,Yola,NG,9.2,12.4833,71.74,97,98,2.73,overcast clouds
179,Lebu,CL,-53.15,-70.9167,35.71,87,0,27.63,clear sky
180,Bengkulu,ID,-5.1241,120.253,74.01,90,100,2.73,overcast clouds
181,Swift Current,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
182,Zhezkazgan,KZ,47.9714,80.4392,64.2,69,7,9.86,clear sky
183,Shimoda,JP,35.1333,140.3,78.06,90,100,12.39,overcast clouds
184,Umzimvubu,ZA,-33.0153,27.9116,69.03,31,0,8.43,clear sky
185,Imeni Poliny Osipenko,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
186,Atar,MR,20.5169,-13.0499,100.92,11,30,6.02,scattered clouds
187,Kawalu,ID,-5.1241,120.253,74.01,90,100,2.73,overcast clouds
188,Kutum,SD,12.35,29.25,77.81,75,92,7.81,overcast clouds
189,Geraldton,AU,-33.65,115.3333,53.83,91,99,14.2,overcast clouds
190,Suntar,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
191,Sao Felix Do Xingu,BR,-22.9661,-42.0278,72.95,82,56,19.73,broken clouds
192,Sorland,NO,62.2028,5.5773,59.41,82,74,14.12,broken clouds
193,Amderma,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
194,Paradwip,IN,19.2,84.6167,77.59,90,60,4.47,broken clouds
195,Boa Vista,BR,-22.9661,-42.0278,72.95,82,56,19.73,broken clouds
196,Gurupi,BR,-22.9661,-42.0278,72.95,82,56,19.73,broken clouds
197,Inhambane,MZ,-23.865,35.3833,66.92,90,4,6.22,clear sky
198,Alekseyevskaya,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
199,Porechye-Rybnoye,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
200,Olga,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
201,Maumere,ID,-5.1241,120.253,74.01,90,100,2.73,overcast clouds
202,Port Elizabeth,ZA,-33.0153,27.9116,69.03,31,0,8.43,clear sky
203,Sisophon,KH,13.5859,102.9737,77.38,88,100,4.7,overcast clouds
204,Ternate,ID,-5.1241,120.253,74.01,90,100,2.73,overcast clouds
205,Georgetown,MY,5.4112,100.3354,82.89,88,40,0.0,scattered clouds
206,Marsa Matruh,EG,31.3525,27.2453,77.94,73,0,8.95,clear sky
207,Coquimbo,CL,-53.15,-70.9167,35.71,87,0,27.63,clear sky
208,Maple Creek,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
209,Kadiri,IN,19.2,84.6167,77.59,90,60,4.47,broken clouds
210,Hami,CN,39.4547,75.9797,79.34,24,0,3.76,clear sky
